,Ship Mode,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Ship Time,Segment_encoded,Region_encoded,Category_encoded,Sub-Category_encoded,Sales
Ship Mode,1.0,0.001083435423690388,0.004687719198243807,-0.00972060601626382,0.002523482163780818,-0.14518849354352753,0.4045615813908505,0.7193400271478624,0.006375605287377265,0.0097023677568291,0.005351198311401125,-0.0014219258212908098,0.001083435423690388
Sales,0.001083435423690388,1.0,0.31357718095479864,-0.08672186697182793,0.4849181126194484,0.7680728643587637,0.00019118006778603793,-0.004659709218987114,0.002325101944120571,0.11321742549625124,0.32315906740913947,0.460323940196043,1.0
Quantity,0.004687719198243807,0.31357718095479864,1.0,-0.019874695147655858,0.1043650271696067,0.272648731933336,0.004434596954261902,0.004346987981015562,9.265843495184374e-05,0.1824006351752421,0.008431703345367015,-0.003378820068467702,0.31357718095479853
Discount,-0.00972060601626382,-0.08672186697182793,-0.019874695147655858,1.0,-0.31649017182727196,-0.07905545343700997,0.005410569063577654,-0.001507438329982975,-0.0026848306349047503,-0.0867544183118996,0.02727783409590016,0.047839449007730454,-0.08672186697182795
Profit,0.002523482163780818,0.4849181126194484,0.1043650271696067,-0.31649017182727196,1.0,0.35444082723435016,0.002252076562061645,0.0017447852467334943,0.0016771932613776667,0.06474959744823211,0.09251504124861314,0.10994119326616424,0.48491811261944845
Shipping Cost,-0.14518849354352753,0.7680728643587637,0.272648731933336,-0.07905545343700997,0.35444082723435016,1.0,-0.18773412449769467,-0.14282265096725902,0.0018610812359771715,0.10142210937142031,0.2940486221636032,0.41610017082940415,0.7680728643587637
Order Priority,0.4045615813908505,0.00019118006778603793,0.004434596954261902,0.005410569063577654,0.002252076562061645,-0.18773412449769467,1.0,0.4881641668877728,0.019630217480023734,0.004192354251803787,0.006099884416617901,0.0017406583617821064,0.0001911800677860396
Ship Time,0.7193400271478624,-0.004659709218987114,0.004346987981015562,-0.001507438329982975,0.0017447852467334943,-0.14282265096725902,0.4881641668877728,1.0,0.0099971397748174,0.009941017606211537,0.0036165981138170313,-0.0010640317015572184,-0.004659709218987075
Segment_encoded,0.006375605287377265,0.002325101944120571,9.265843495184374e-05,-0.0026848306349047503,0.0016771932613776667,0.0018610812359771715,0.019630217480023734,0.0099971397748174,1.0,-0.00196275198613008,-0.00040464175659681663,0.0030677821125502758,0.002325101944120574
Region_encoded,0.0097023677568291,0.11321742549625124,0.1824006351752421,-0.0867544183118996,0.06474959744823211,0.10142210937142031,0.004192354251803787,0.009941017606211537,-0.00196275198613008,1.0,0.05531079938167091,0.04035481277398437,0.1132174254962512
Category_encoded,0.005351198311401125,0.32315906740913947,0.008431703345367015,0.02727783409590016,0.09251504124861314,0.2940486221636032,0.006099884416617901,0.0036165981138170313,-0.00040464175659681663,0.05531079938167091,1.0,0.702025333011164,0.3231590674091395
Sub-Category_encoded,-0.0014219258212908098,0.460323940196043,-0.003378820068467702,0.047839449007730454,0.10994119326616424,0.41610017082940415,0.0017406583617821064,-0.0010640317015572184,0.0030677821125502758,0.04035481277398437,0.702025333011164,1.0,0.460323940196043
Sales,0.001083435423690388,1.0,0.31357718095479853,-0.08672186697182795,0.48491811261944845,0.7680728643587637,0.0001911800677860396,-0.004659709218987075,0.002325101944120574,0.1132174254962512,0.3231590674091395,0.460323940196043,1.0
